Recency,Frequency,Monetary,R,F,M,RFM_Level,RFM_Score,Cluster
3,31,375.31,4,4,4,VIP,12,2
91,27,361.45,3,4,4,VIP,11,2
26,25,345.1,4,4,4,VIP,12,2
4,29,334.15,4,4,4,VIP,12,2
142,17,312.46,2,4,4,LOYAL,10,2
310,20,305.72,1,4,4,LOYAL,9,2
140,24,303.61,3,4,4,VIP,11,2
37,30,301.33,4,4,4,VIP,12,2
52,23,301.1,4,4,4,VIP,12,2
239,15,296.96,2,4,4,LOYAL,10,2
31,20,290.74,4,4,4,VIP,12,2
57,19,289.4,4,4,4,VIP,12,2
31,23,285.6,4,4,4,VIP,12,2
46,33,284.9,4,4,4,VIP,12,2
179,17,284.89,2,4,4,LOYAL,10,2
380,21,284.8,1,4,4,LOYAL,9,2
88,25,279.99,3,4,4,VIP,11,2
58,21,277.9,3,4,4,VIP,11,2
105,29,277.4,3,4,4,VIP,11,2
96,19,277.35,3,4,4,VIP,11,2
50,22,277.18,4,4,4,VIP,12,2
64,27,271.9,3,4,4,VIP,11,2
22,18,271.8,4,4,4,VIP,12,2
57,23,268.8,4,4,4,VIP,12,2
48,24,267.62,4,4,4,VIP,12,2
4,23,267.4,4,4,4,VIP,12,2
112,20,267.32,3,4,4,VIP,11,2
91,22,265.7,3,4,4,VIP,11,2
47,28,263.65,4,4,4,VIP,12,2
20,20,262.4,4,4,4,VIP,12,2
154,23,261.55,2,4,4,LOYAL,10,2
33,22,260.94,4,4,4,VIP,12,2
88,23,260.9,3,4,4,VIP,11,2
161,23,260.7,2,4,4,LOYAL,10,2
112,25,257.54,3,4,4,VIP,11,2
18,27,256.25,4,4,4,VIP,12,2
49,17,256.0,4,4,4,VIP,12,2
98,24,254.8,3,4,4,VIP,11,2
55,20,254.7,4,4,4,VIP,12,2
4,26,254.04,4,4,4,VIP,12,2
92,20,253.55,3,4,4,VIP,11,2
73,26,253.51,3,4,4,VIP,11,2
46,16,253.12,4,4,4,VIP,12,2
19,21,252.6,4,4,4,VIP,12,2
72,36,251.45,3,4,4,VIP,11,2
65,29,249.6,3,4,4,VIP,11,2
4,21,248.12,4,4,4,VIP,12,2
229,24,248.11,2,4,4,LOYAL,10,2
51,23,247.84,4,4,4,VIP,12,2
98,21,247.8,3,4,4,VIP,11,2
5,25,245.36,4,4,4,VIP,12,2
95,21,245.1,3,4,4,VIP,11,2
52,18,244.5,4,4,4,VIP,12,2
80,22,244.34,3,4,4,VIP,11,2
207,27,244.0,2,4,4,LOYAL,10,2
7,24,243.5,4,4,4,VIP,12,2
42,31,243.06,4,4,4,VIP,12,2
11,26,242.84,4,4,4,VIP,12,2
47,19,242.0,4,4,4,VIP,12,2
23,24,241.86,4,4,4,VIP,12,2
40,31,241.8,4,4,4,VIP,12,2
45,21,241.7,4,4,4,VIP,12,2
24,15,241.6,4,4,4,VIP,12,2
161,22,240.5,2,4,4,LOYAL,10,2
124,18,240.15,3,4,4,VIP,11,2
84,16,239.91,3,4,4,VIP,11,2
80,28,239.75,3,4,4,VIP,11,2
150,20,237.4,2,4,4,LOYAL,10,2
26,16,237.2,4,4,4,VIP,12,2
92,18,236.4,3,4,4,VIP,11,2
97,18,236.3,3,4,4,VIP,11,2
123,12,236.0,3,3,4,VIP,10,2
25,28,235.45,4,4,4,VIP,12,2
324,21,235.4,1,4,4,LOYAL,9,2
100,15,235.11,3,4,4,VIP,11,2
16,19,234.79,4,4,4,VIP,12,2
20,19,234.0,4,4,4,VIP,12,2
191,13,232.92,2,3,4,LOYAL,9,2
60,13,232.7,3,3,4,VIP,10,2
13,17,231.44,4,4,4,VIP,12,2
13,25,230.0,4,4,4,VIP,12,2
18,33,229.58,4,4,4,VIP,12,2
66,13,228.6,3,3,4,VIP,10,2
17,21,228.33,4,4,4,VIP,12,2
89,18,228.22,3,4,4,VIP,11,2
128,23,227.36,3,4,4,VIP,11,2
184,23,227.2,2,4,4,LOYAL,10,2
116,15,225.65,3,4,4,VIP,11,2
78,26,225.41,3,4,4,VIP,11,2
47,14,225.4,4,4,4,VIP,12,2
31,25,224.1,4,4,4,VIP,12,2
11,24,223.85,4,4,4,VIP,12,2
3,22,223.55,4,4,4,VIP,12,2
123,17,223.5,3,4,4,VIP,11,2
59,22,223.34,3,4,4,VIP,11,2
194,25,223.29,2,4,4,LOYAL,10,2
15,33,222.7,4,4,4,VIP,12,2
91,22,222.4,3,4,4,VIP,11,2
183,19,222.36,2,4,4,LOYAL,10,2
131,27,222.36,3,4,4,VIP,11,2
301,18,221.86,1,4,4,LOYAL,9,2
120,15,221.5,3,4,4,VIP,11,2
96,19,221.47,3,4,4,VIP,11,2
125,22,221.4,3,4,4,VIP,11,2
38,29,221.0,4,4,4,VIP,12,2
27,18,220.45,4,4,4,VIP,12,2
13,16,220.35,4,4,4,VIP,12,2
33,14,220.04,4,4,4,VIP,12,2
51,21,220.0,4,4,4,VIP,12,2
161,15,219.8,2,4,4,LOYAL,10,2
70,12,219.2,3,3,4,VIP,10,2
21,11,219.0,4,3,4,VIP,11,2
42,22,217.85,4,4,4,VIP,12,2
170,28,217.85,2,4,4,LOYAL,10,2
226,15,217.2,2,4,4,LOYAL,10,2
371,19,216.19,1,4,4,LOYAL,9,2
52,23,215.0,4,4,4,VIP,12,2
165,17,214.9,2,4,4,LOYAL,10,2
16,19,214.2,4,4,4,VIP,12,2
73,23,214.05,3,4,4,VIP,11,2
75,21,213.56,3,4,4,VIP,11,2
264,17,213.55,2,4,4,LOYAL,10,2
29,23,213.4,4,4,4,VIP,12,2
130,16,213.34,3,4,4,VIP,11,2
